nohup: 忽略输入
Epoch: 5, Training Loss: 1429.011, Validation MAE: 19.721, Validation RMSE: 29.550
Epoch: 10, Training Loss: 1105.549, Validation MAE: 25.973, Validation RMSE: 32.150
Epoch: 15, Training Loss: 1103.331, Validation MAE: 26.016, Validation RMSE: 32.127
Epoch: 20, Training Loss: 1104.069, Validation MAE: 25.920, Validation RMSE: 32.163
Epoch: 25, Training Loss: 276.357, Validation MAE: 5.589, Validation RMSE: 12.246
Epoch: 30, Training Loss: 245.165, Validation MAE: 4.232, Validation RMSE: 10.261
Epoch: 35, Training Loss: 235.475, Validation MAE: 3.737, Validation RMSE: 10.097
Epoch: 40, Training Loss: 238.521, Validation MAE: 3.624, Validation RMSE: 9.918
Epoch: 45, Training Loss: 230.406, Validation MAE: 3.596, Validation RMSE: 9.606
Epoch: 50, Training Loss: 230.403, Validation MAE: 3.512, Validation RMSE: 9.771
Epoch: 55, Training Loss: 220.133, Validation MAE: 3.583, Validation RMSE: 9.998
Epoch: 60, Training Loss: 218.534, Validation MAE: 3.944, Validation RMSE: 9.685
Epoch: 65, Training Loss: 221.729, Validation MAE: 3.694, Validation RMSE: 9.843
Epoch: 70, Training Loss: 219.329, Validation MAE: 3.896, Validation RMSE: 9.901
Epoch: 75, Training Loss: 218.173, Validation MAE: 3.722, Validation RMSE: 9.827
Epoch: 80, Training Loss: 212.937, Validation MAE: 3.623, Validation RMSE: 9.767
Epoch: 85, Training Loss: 214.479, Validation MAE: 3.421, Validation RMSE: 9.605
Epoch: 90, Training Loss: 216.116, Validation MAE: 3.627, Validation RMSE: 9.714
Epoch: 95, Training Loss: 211.463, Validation MAE: 3.437, Validation RMSE: 9.689
Epoch: 100, Training Loss: 209.817, Validation MAE: 3.516, Validation RMSE: 9.625
Epoch: 105, Training Loss: 212.951, Validation MAE: 3.527, Validation RMSE: 9.620
Epoch: 110, Training Loss: 205.089, Validation MAE: 3.600, Validation RMSE: 9.743
Epoch: 115, Training Loss: 210.189, Validation MAE: 3.914, Validation RMSE: 9.946
Epoch: 120, Training Loss: 200.049, Validation MAE: 3.599, Validation RMSE: 9.925
Epoch: 125, Training Loss: 197.383, Validation MAE: 3.677, Validation RMSE: 9.962
Epoch: 130, Training Loss: 204.247, Validation MAE: 3.725, Validation RMSE: 10.001
Epoch: 135, Training Loss: 195.684, Validation MAE: 3.706, Validation RMSE: 9.585
Epoch: 140, Training Loss: 192.140, Validation MAE: 3.800, Validation RMSE: 9.788
Epoch: 145, Training Loss: 192.964, Validation MAE: 3.693, Validation RMSE: 10.210
Epoch: 150, Training Loss: 186.353, Validation MAE: 3.724, Validation RMSE: 10.099
Epoch: 155, Training Loss: 189.895, Validation MAE: 3.649, Validation RMSE: 10.064
Epoch: 160, Training Loss: 202.810, Validation MAE: 3.863, Validation RMSE: 10.608
Epoch: 165, Training Loss: 181.348, Validation MAE: 3.699, Validation RMSE: 10.106
Epoch: 170, Training Loss: 178.418, Validation MAE: 3.759, Validation RMSE: 10.227
Epoch: 175, Training Loss: 177.489, Validation MAE: 3.812, Validation RMSE: 10.111
Epoch: 180, Training Loss: 174.878, Validation MAE: 3.748, Validation RMSE: 10.178
Epoch: 185, Training Loss: 174.031, Validation MAE: 3.779, Validation RMSE: 10.252
Epoch: 190, Training Loss: 172.039, Validation MAE: 3.851, Validation RMSE: 10.482
Epoch: 195, Training Loss: 171.168, Validation MAE: 3.760, Validation RMSE: 10.315
Epoch: 200, Training Loss: 168.316, Validation MAE: 3.903, Validation RMSE: 10.494
Epoch: 205, Training Loss: 169.032, Validation MAE: 3.938, Validation RMSE: 10.250
Epoch: 210, Training Loss: 166.993, Validation MAE: 3.820, Validation RMSE: 10.222
